discount_factor,learn_rate_policy,learn_rate_value,hidden_dim_policy,hidden_dim_value,init_temp,result
0.98,0.001,0.01,256,128,1.05,139.456533333333
0.98,0.001,0.01,256,128,1.1,145.397866666667
0.98,0.001,0.01,256,128,1.15,140.3
0.98,0.001,0.01,256,256,1.05,143.363466666667
0.98,0.001,0.01,256,256,1.1,146.539466666667
0.98,0.001,0.01,256,256,1.15,142.1248
0.98,0.001,0.001,64,64,1.05,95.5992
0.98,0.001,0.001,64,64,1.1,100.6008
0.98,0.001,0.001,64,64,1.15,101.976
0.98,0.001,0.001,64,128,1.05,102.210666666667
0.98,0.001,0.001,64,128,1.1,101.049066666667
0.98,0.001,0.001,64,128,1.15,105.713066666667
0.98,0.001,0.001,64,256,1.05,110.416
0.98,0.001,0.001,64,256,1.1,103.553333333333
0.98,0.001,0.001,64,256,1.15,105.535733333333
0.98,0.001,0.001,128,64,1.05,117.0664
0.98,0.001,0.001,128,64,1.1,122.223733333333
0.98,0.001,0.001,128,64,1.15,115.8464
0.98,0.001,0.001,128,128,1.05,124.582666666667
0.98,0.001,0.001,128,128,1.1,123.616266666667
0.98,0.001,0.001,128,128,1.15,123.324
0.98,0.001,0.001,128,256,1.05,127.654666666667
0.98,0.001,0.001,128,256,1.1,126.565866666667
0.98,0.001,0.001,128,256,1.15,126.017066666667
0.98,0.001,0.001,256,64,1.05,134.021866666667
0.98,0.001,0.001,256,64,1.1,135.056533333333
0.98,0.001,0.001,256,64,1.15,132.864266666667
0.98,0.001,0.001,256,128,1.05,136.014666666667
0.98,0.001,0.001,256,128,1.1,136.637866666667
0.98,0.001,0.001,256,128,1.15,136.396533333333
0.98,0.001,0.001,256,256,1.05,140.36
0.98,0.001,0.001,256,256,1.1,142.274666666667
0.98,0.001,0.001,256,256,1.15,138.434933333333
0.98,0.001,0.0001,64,64,1.05,79.1669333333333
0.98,0.001,0.0001,64,64,1.1,83.4514666666667
0.98,0.001,0.0001,64,64,1.15,92.2096
0.98,0.001,0.0001,64,128,1.05,84.5877333333333
0.98,0.001,0.0001,64,128,1.1,81.3450666666667
0.98,0.001,0.0001,64,128,1.15,83.0485333333333
0.98,0.001,0.0001,64,256,1.05,93.8888
0.98,0.001,0.0001,64,256,1.1,80.8946666666667
0.98,0.001,0.0001,64,256,1.15,95.004
0.98,0.001,0.0001,128,64,1.05,113.413333333333
0.98,0.001,0.0001,128,64,1.1,107.192533333333
0.98,0.001,0.0001,128,64,1.15,112.376
0.98,0.001,0.0001,128,128,1.05,114.710666666667
0.98,0.001,0.0001,128,128,1.1,110.279733333333
0.98,0.001,0.0001,128,128,1.15,109.4672
0.98,0.001,0.0001,128,256,1.05,118.660533333333
0.98,0.001,0.0001,128,256,1.1,108.0432
0.98,0.001,0.0001,128,256,1.15,112.445333333333
0.98,0.001,0.0001,256,64,1.05,120.354133333333
0.98,0.001,0.0001,256,64,1.1,127.5248
0.98,0.001,0.0001,256,64,1.15,118.487733333333
0.98,0.001,0.0001,256,128,1.05,129.9784
0.98,0.001,0.0001,256,128,1.1,122.498666666667
0.98,0.001,0.0001,256,128,1.15,128.0792
0.98,0.001,0.0001,256,256,1.05,121.826933333333
0.98,0.001,0.0001,256,256,1.1,128.397066666667
0.98,0.001,0.0001,256,256,1.15,118.136
0.98,0.0001,0.01,64,64,1.05,23.9357333333333
0.98,0.0001,0.01,64,64,1.1,25.7837333333333
0.98,0.0001,0.01,64,64,1.15,25.3882666666667
0.98,0.0001,0.01,64,128,1.05,23.5149333333333
0.98,0.0001,0.01,64,128,1.1,25.2914666666667
0.98,0.0001,0.01,64,128,1.15,22.5445333333333
0.98,0.0001,0.01,64,256,1.05,25.9234666666667
0.98,0.0001,0.01,64,256,1.1,25.7730666666667
0.98,0.0001,0.01,64,256,1.15,24.3394666666667
0.98,0.0001,0.01,128,64,1.05,29.6368
0.98,0.0001,0.01,128,64,1.1,26.6773333333333
