discount_factor,learn_rate,hidden_dim,init_temp,result
0.98,0.01,64,1.05,100.77919999999999
0.98,0.01,64,1.1,110.08879999999999
0.98,0.01,64,1.15,119.70933333333335
0.98,0.01,128,1.05,79.70133333333334
0.98,0.01,128,1.1,108.11119999999998
0.98,0.01,128,1.15,73.26000000000002
0.98,0.01,256,1.05,30.433866666666667
0.98,0.01,256,1.1,60.20400000000001
0.98,0.01,256,1.15,52.562400000000004
0.98,0.001,64,1.05,89.3992
0.98,0.001,64,1.1,86.5608
0.98,0.001,64,1.15,78.70666666666666
0.98,0.001,128,1.05,106.88666666666668
0.98,0.001,128,1.1,112.34880000000001
0.98,0.001,128,1.15,110.80906666666667
0.98,0.001,256,1.05,125.04906666666668
0.98,0.001,256,1.1,128.66373333333334
0.98,0.001,256,1.15,119.80319999999999
0.98,0.0001,64,1.05,23.576266666666662
0.98,0.0001,64,1.1,24.234133333333336
0.98,0.0001,64,1.15,23.200533333333333
0.98,0.0001,128,1.05,27.0168
0.98,0.0001,128,1.1,29.180266666666665
0.98,0.0001,128,1.15,25.962666666666667
0.98,0.0001,256,1.05,34.74373333333334
0.98,0.0001,256,1.1,31.134666666666668
0.98,0.0001,256,1.15,30.99413333333333
0.985,0.01,64,1.05,113.06586666666666
0.985,0.01,64,1.1,118.96906666666666
0.985,0.01,64,1.15,105.86266666666666
0.985,0.01,128,1.05,70.70213333333334
0.985,0.01,128,1.1,57.384800000000006
0.985,0.01,128,1.15,64.56506666666667
0.985,0.01,256,1.05,17.715733333333333
0.985,0.01,256,1.1,31.416266666666672
0.985,0.01,256,1.15,55.79333333333333
0.985,0.001,64,1.05,97.81573333333333
0.985,0.001,64,1.1,88.34
0.985,0.001,64,1.15,87.884
0.985,0.001,128,1.05,119.82560000000001
0.985,0.001,128,1.1,109.86453333333334
0.985,0.001,128,1.15,105.79733333333334
0.985,0.001,256,1.05,119.74746666666665
0.985,0.001,256,1.1,126.32053333333332
0.985,0.001,256,1.15,127.68906666666666
0.985,0.0001,64,1.05,24.259999999999998
0.985,0.0001,64,1.1,24.1672
0.985,0.0001,64,1.15,26.678933333333333
0.985,0.0001,128,1.05,29.277066666666666
0.985,0.0001,128,1.1,26.800266666666666
0.985,0.0001,128,1.15,26.922133333333335
0.985,0.0001,256,1.05,32.78586666666667
0.985,0.0001,256,1.1,32.8384
0.985,0.0001,256,1.15,32.54826666666666
0.99,0.01,64,1.05,138.44533333333334
0.99,0.01,64,1.1,137.03093333333337
0.99,0.01,64,1.15,109.62266666666667
0.99,0.01,128,1.05,85.65920000000001
0.99,0.01,128,1.1,102.42959999999998
0.99,0.01,128,1.15,94.14373333333333
0.99,0.01,256,1.05,61.92453333333334
0.99,0.01,256,1.1,55.5552
0.99,0.01,256,1.15,58.63013333333333
0.99,0.001,64,1.05,82.48186666666668
0.99,0.001,64,1.1,90.21679999999999
0.99,0.001,64,1.15,90.39253333333333
0.99,0.001,128,1.05,114.55199999999999
0.99,0.001,128,1.1,115.27520000000001
0.99,0.001,128,1.15,104.45013333333334
0.99,0.001,256,1.05,135.61386666666667
0.99,0.001,256,1.1,127.16266666666665
0.99,0.001,256,1.15,124.72053333333334
0.99,0.0001,64,1.05,25.144266666666667
0.99,0.0001,64,1.1,24.245333333333335
0.99,0.0001,64,1.15,26.6464
0.99,0.0001,128,1.05,26.9024
0.99,0.0001,128,1.1,27.551733333333335
0.99,0.0001,128,1.15,27.061333333333334
0.99,0.0001,256,1.05,32.4744
0.99,0.0001,256,1.1,32.30506666666666
0.99,0.0001,256,1.15,34.10906666666666
