discount_factor,learn_rate,hidden_dim,init_temp,result
0.98,0.01,64,1.05,132.76746666666668
0.98,0.01,64,1.1,146.78879999999998
0.98,0.01,64,1.15,145.06053333333335
0.98,0.01,128,1.05,146.74826666666667
0.98,0.01,128,1.1,145.93813333333335
0.98,0.01,128,1.15,110.8672
0.98,0.01,256,1.05,100.5136
0.98,0.01,256,1.1,122.98426666666667
0.98,0.01,256,1.15,95.95893333333333
0.98,0.001,64,1.05,104.47546666666668
0.98,0.001,64,1.1,106.92159999999998
0.98,0.001,64,1.15,104.28586666666668
0.98,0.001,128,1.05,126.04506666666666
0.98,0.001,128,1.1,125.32240000000002
0.98,0.001,128,1.15,130.9712
0.98,0.001,256,1.05,135.90133333333333
0.98,0.001,256,1.1,146.1757333333333
0.98,0.001,256,1.15,137.66826666666665
0.98,0.0001,64,1.05,26.04133333333333
0.98,0.0001,64,1.1,25.201866666666668
0.98,0.0001,64,1.15,23.941066666666664
0.98,0.0001,128,1.05,29.172800000000002
0.98,0.0001,128,1.1,31.131999999999998
0.98,0.0001,128,1.15,29.824266666666666
0.98,0.0001,256,1.05,38.882666666666665
0.98,0.0001,256,1.1,41.03493333333334
0.98,0.0001,256,1.15,39.5024
0.985,0.01,64,1.05,147.68186666666665
0.985,0.01,64,1.1,143.33626666666666
0.985,0.01,64,1.15,151.5448
0.985,0.01,128,1.05,109.26906666666666
0.985,0.01,128,1.1,147.12053333333333
0.985,0.01,128,1.15,129.5058666666667
0.985,0.01,256,1.05,107.0024
0.985,0.01,256,1.1,91.93733333333334
0.985,0.01,256,1.15,95.56693333333334
0.985,0.001,64,1.05,112.06480000000002
0.985,0.001,64,1.1,114.6624
0.985,0.001,64,1.15,110.256
0.985,0.001,128,1.05,133.91333333333336
0.985,0.001,128,1.1,125.76559999999999
0.985,0.001,128,1.15,129.30933333333334
0.985,0.001,256,1.05,142.08933333333331
0.985,0.001,256,1.1,142.43946666666665
0.985,0.001,256,1.15,139.36079999999998
0.985,0.0001,64,1.05,27.570133333333338
0.985,0.0001,64,1.1,26.044
0.985,0.0001,64,1.15,25.862666666666666
0.985,0.0001,128,1.05,31.446666666666665
0.985,0.0001,128,1.1,29.445600000000002
0.985,0.0001,128,1.15,31.08693333333333
0.985,0.0001,256,1.05,35.56506666666667
0.985,0.0001,256,1.1,39.060266666666664
0.985,0.0001,256,1.15,38.42373333333333
0.99,0.01,64,1.05,129.38453333333334
0.99,0.01,64,1.1,126.58959999999999
0.99,0.01,64,1.15,127.76453333333333
0.99,0.01,128,1.05,128.43306666666666
0.99,0.01,128,1.1,120.64746666666667
0.99,0.01,128,1.15,120.46346666666666
0.99,0.01,256,1.05,40.17706666666667
0.99,0.01,256,1.1,117.18373333333334
0.99,0.01,256,1.15,87.25519999999999
0.99,0.001,64,1.05,107.16693333333333
0.99,0.001,64,1.1,105.33786666666667
0.99,0.001,64,1.15,106.61093333333334
0.99,0.001,128,1.05,127.76533333333332
0.99,0.001,128,1.1,128.48746666666665
0.99,0.001,128,1.15,131.2056
0.99,0.001,256,1.05,142.19653333333332
0.99,0.001,256,1.1,145.66186666666664
0.99,0.001,256,1.15,141.97840000000002
0.99,0.0001,64,1.05,27.063466666666663
0.99,0.0001,64,1.1,23.261333333333333
0.99,0.0001,64,1.15,25.1296
0.99,0.0001,128,1.05,30.714933333333335
0.99,0.0001,128,1.1,30.355200000000004
0.99,0.0001,128,1.15,31.08826666666667
0.99,0.0001,256,1.05,35.924
0.99,0.0001,256,1.1,38.221066666666665
0.99,0.0001,256,1.15,37.64746666666666
