discount_factor,learn_rate_policy,learn_rate_value,hidden_dim_policy,hidden_dim_value,init_temp,result
0.98,0.01,0.01,64,64,1.05,134.94
0.98,0.01,0.01,64,64,1.1,126.477333333333
0.98,0.01,0.01,64,64,1.15,140.868533333333
0.98,0.01,0.01,64,128,1.05,125.415466666667
0.98,0.01,0.01,64,128,1.1,117.127466666667
0.98,0.01,0.01,64,128,1.15,118.271733333333
0.98,0.01,0.01,64,256,1.05,127.384266666667
0.98,0.01,0.01,64,256,1.1,124.8448
0.98,0.01,0.01,64,256,1.15,140.476
0.98,0.01,0.01,128,64,1.05,103.9408
0.98,0.01,0.01,128,64,1.1,119.850933333333
0.98,0.01,0.01,128,64,1.15,133.383466666667
0.98,0.01,0.01,128,128,1.05,107.106133333333
0.98,0.01,0.01,128,128,1.1,125.860533333333
0.98,0.01,0.01,128,128,1.15,107.957866666667
0.98,0.01,0.01,128,256,1.05,112.387733333333
0.98,0.01,0.01,128,256,1.1,103.435733333333
0.98,0.01,0.01,128,256,1.15,115.788266666667
0.98,0.01,0.01,256,64,1.05,50.3557333333333
0.98,0.01,0.01,256,64,1.1,77.3733333333333
0.98,0.01,0.01,256,64,1.15,48.0928
0.98,0.01,0.01,256,128,1.05,30.6888
0.98,0.01,0.01,256,128,1.1,107.163733333333
0.98,0.01,0.01,256,128,1.15,78.4608
0.98,0.01,0.01,256,256,1.05,59.2485333333333
0.98,0.01,0.01,256,256,1.1,53.9488
0.98,0.01,0.01,256,256,1.15,62.2357333333333
0.98,0.01,0.001,64,64,1.05,116.4544
0.98,0.01,0.001,64,64,1.1,119.206133333333
0.98,0.01,0.001,64,64,1.15,129.603466666667
0.98,0.01,0.001,64,128,1.05,100.4216
0.98,0.01,0.001,64,128,1.1,110.337333333333
0.98,0.01,0.001,64,128,1.15,111.077866666667
0.98,0.01,0.001,64,256,1.05,118.246133333333
0.98,0.01,0.001,64,256,1.1,119.2112
0.98,0.01,0.001,64,256,1.15,119.618666666667
0.98,0.01,0.001,128,64,1.05,89.572
0.98,0.01,0.001,128,64,1.1,79.1048
0.98,0.01,0.001,128,64,1.15,94.0312
0.98,0.01,0.001,128,128,1.05,100.0144
0.98,0.01,0.001,128,128,1.1,55.5704
0.98,0.01,0.001,128,128,1.15,78.0698666666667
0.98,0.01,0.001,128,256,1.05,69.4008
0.98,0.01,0.001,128,256,1.1,129.1792
0.98,0.01,0.001,128,256,1.15,101.141066666667
0.98,0.01,0.001,256,64,1.05,50.8141333333333
0.98,0.01,0.001,256,64,1.1,52.7317333333333
0.98,0.01,0.001,256,64,1.15,82.7114666666667
0.98,0.01,0.001,256,128,1.05,39.1896
0.98,0.01,0.001,256,128,1.1,77.4050666666667
0.98,0.01,0.001,256,128,1.15,61.9933333333333
0.98,0.01,0.001,256,256,1.05,73.992
0.98,0.01,0.001,256,256,1.1,60.0376
0.98,0.01,0.001,256,256,1.15,94.2048
0.98,0.01,0.0001,64,64,1.05,89.5576
0.98,0.01,0.0001,64,64,1.1,97.1653333333333
0.98,0.01,0.0001,64,64,1.15,83.7322666666667
0.98,0.01,0.0001,64,128,1.05,90.0861333333333
0.98,0.01,0.0001,64,128,1.1,100.515466666667
0.98,0.01,0.0001,64,128,1.15,86.7858666666667
0.98,0.01,0.0001,64,256,1.05,101.441066666667
0.98,0.01,0.0001,64,256,1.1,78.5994666666667
0.98,0.01,0.0001,64,256,1.15,89.9906666666667
0.98,0.01,0.0001,128,64,1.05,51.4669333333333
0.98,0.01,0.0001,128,64,1.1,85.904
0.98,0.01,0.0001,128,64,1.15,82.0997333333333
0.98,0.01,0.0001,128,128,1.05,79.3834666666667
0.98,0.01,0.0001,128,128,1.1,46.6394666666667
0.98,0.01,0.0001,128,128,1.15,64.3461333333333
0.98,0.01,0.0001,128,256,1.05,47.2344
0.98,0.01,0.0001,128,256,1.1,70.6296
0.98,0.01,0.0001,128,256,1.15,89.1624
0.98,0.01,0.0001,256,64,1.05,25.9229333333333
0.98,0.01,0.0001,256,64,1.1,30.9933333333333
0.98,0.01,0.0001,256,64,1.15,45.5829333333333
0.98,0.01,0.0001,256,128,1.05,17.4818666666667
0.98,0.01,0.0001,256,128,1.1,31.3970666666667
0.98,0.01,0.0001,256,128,1.15,44.1464
0.98,0.01,0.0001,256,256,1.05,23.6768
0.98,0.01,0.0001,256,256,1.1,44.8709333333333
0.98,0.01,0.0001,256,256,1.15,80.8002666666667
0.98,0.001,0.01,64,64,1.05,71.8792
0.98,0.001,0.01,64,64,1.1,67.0429333333333
0.98,0.001,0.01,64,64,1.15,63.5912
0.98,0.001,0.01,64,128,1.05,65.3930666666667
0.98,0.001,0.01,64,128,1.1,66.3258666666667
0.98,0.001,0.01,64,128,1.15,65.7488
0.98,0.001,0.01,64,256,1.05,72.0272
0.98,0.001,0.01,64,256,1.1,66.5493333333333
0.98,0.001,0.01,64,256,1.15,75.1069333333333
0.98,0.001,0.01,128,64,1.05,96.2101333333333
0.98,0.001,0.01,128,64,1.1,93.0341333333333
0.98,0.001,0.01,128,64,1.15,88.1408
0.98,0.001,0.01,128,128,1.05,93.7752
0.98,0.001,0.01,128,128,1.1,96.9424
0.98,0.001,0.01,128,128,1.15,96.4437333333333
0.98,0.001,0.01,128,256,1.05,92.3610666666667
0.98,0.001,0.01,128,256,1.1,96.0981333333333
0.98,0.001,0.01,128,256,1.15,88.8906666666667
0.98,0.001,0.01,256,64,1.05,106.515466666667
0.98,0.001,0.01,256,64,1.1,110.114133333333
0.98,0.001,0.01,256,64,1.15,114.608266666667
0.98,0.001,0.01,256,128,1.05,116.32
0.98,0.001,0.01,256,128,1.1,110.489066666667
0.98,0.001,0.01,256,128,1.15,112.147466666667
0.98,0.001,0.01,256,256,1.05,108.697066666667
0.98,0.001,0.01,256,256,1.1,116.3592
0.98,0.001,0.01,256,256,1.15,105.596266666667
0.98,0.001,0.001,64,64,1.05,64.7648
0.98,0.001,0.001,64,64,1.1,69.3810666666667
0.98,0.001,0.001,64,64,1.15,71.1741333333333
0.98,0.001,0.001,64,128,1.05,65.7082666666667
0.98,0.001,0.001,64,128,1.1,71.6674666666667
0.98,0.001,0.001,64,128,1.15,75.1122666666667
0.98,0.001,0.001,64,256,1.05,72.5165333333333
0.98,0.001,0.001,64,256,1.1,75.0824
0.98,0.001,0.001,64,256,1.15,81.6674666666667
0.98,0.001,0.001,128,64,1.05,90.3018666666667
0.98,0.001,0.001,128,64,1.1,91.328
0.98,0.001,0.001,128,64,1.15,83.9704
0.98,0.001,0.001,128,128,1.05,90.956
0.98,0.001,0.001,128,128,1.1,94.2661333333333
0.98,0.001,0.001,128,128,1.15,93.0245333333333
0.98,0.001,0.001,128,256,1.05,92.2394666666667
0.98,0.001,0.001,128,256,1.1,93.0789333333333
0.98,0.001,0.001,128,256,1.15,93.0373333333334
0.98,0.001,0.001,256,64,1.05,104.826133333333
0.98,0.001,0.001,256,64,1.1,95.5925333333333
0.98,0.001,0.001,256,64,1.15,104.342666666667
0.98,0.001,0.001,256,128,1.05,109.637066666667
0.98,0.001,0.001,256,128,1.1,107.3864
0.98,0.001,0.001,256,128,1.15,107.304
0.98,0.001,0.001,256,256,1.05,112.04
0.98,0.001,0.001,256,256,1.1,108.8208
0.98,0.001,0.001,256,256,1.15,109.2432
0.98,0.001,0.0001,64,64,1.05,57.6216
0.98,0.001,0.0001,64,64,1.1,55.6312
0.98,0.001,0.0001,64,64,1.15,55.4090666666667
0.98,0.001,0.0001,64,128,1.05,58.2885333333333
0.98,0.001,0.0001,64,128,1.1,53.1373333333333
0.98,0.001,0.0001,64,128,1.15,56.8362666666667
0.98,0.001,0.0001,64,256,1.05,57.3064
0.98,0.001,0.0001,64,256,1.1,63.2429333333333
0.98,0.001,0.0001,64,256,1.15,56.1914666666667
0.98,0.001,0.0001,128,64,1.05,72.7218666666667
0.98,0.001,0.0001,128,64,1.1,69.42
0.98,0.001,0.0001,128,64,1.15,73.0202666666667
0.98,0.001,0.0001,128,128,1.05,80.0797333333333
0.98,0.001,0.0001,128,128,1.1,87.3882666666667
0.98,0.001,0.0001,128,128,1.15,80.0642666666667
0.98,0.001,0.0001,128,256,1.05,77.8210666666667
0.98,0.001,0.0001,128,256,1.1,71.964
0.98,0.001,0.0001,128,256,1.15,77.6650666666667
0.98,0.001,0.0001,256,64,1.05,87.2426666666667
0.98,0.001,0.0001,256,64,1.1,94.0469333333333
0.98,0.001,0.0001,256,64,1.15,87.5733333333333
0.98,0.001,0.0001,256,128,1.05,92.2421333333333
0.98,0.001,0.0001,256,128,1.1,95.748
0.98,0.001,0.0001,256,128,1.15,90.8216
0.98,0.001,0.0001,256,256,1.05,95.4608
0.98,0.001,0.0001,256,256,1.1,93.5714666666667
0.98,0.001,0.0001,256,256,1.15,88.916
0.98,0.0001,0.01,64,64,1.05,23.5298666666667
0.98,0.0001,0.01,64,64,1.1,23.6256
0.98,0.0001,0.01,64,64,1.15,23.9296
0.98,0.0001,0.01,64,128,1.05,23.3554666666667
0.98,0.0001,0.01,64,128,1.1,24.7386666666667
0.98,0.0001,0.01,64,128,1.15,23.6573333333333
0.98,0.0001,0.01,64,256,1.05,23.4709333333333
0.98,0.0001,0.01,64,256,1.1,23.9885333333333
0.98,0.0001,0.01,64,256,1.15,23.6882666666667
0.98,0.0001,0.01,128,64,1.05,27.4658666666667
0.98,0.0001,0.01,128,64,1.1,25.0816
0.98,0.0001,0.01,128,64,1.15,25.6821333333333
0.98,0.0001,0.01,128,128,1.05,26.4328
0.98,0.0001,0.01,128,128,1.1,26.404
0.98,0.0001,0.01,128,128,1.15,25.0792
0.98,0.0001,0.01,128,256,1.05,25.5989333333333
0.98,0.0001,0.01,128,256,1.1,24.2218666666667
0.98,0.0001,0.01,128,256,1.15,25.2770666666667
