discount_factor,learn_rate_policy,learn_rate_value,hidden_dim_policy,hidden_dim_value,init_temp,result
0.98,0.01,0.01,64,64,1.05,156.634666666667
0.98,0.01,0.01,64,64,1.1,165.3384
0.98,0.01,0.01,64,64,1.15,165.476533333333
0.98,0.01,0.01,64,128,1.05,158.836533333333
0.98,0.01,0.01,64,128,1.1,161.520533333333
0.98,0.01,0.01,64,128,1.15,158.108266666667
0.98,0.01,0.01,64,256,1.05,153.449866666667
0.98,0.01,0.01,64,256,1.1,164.0352
0.98,0.01,0.01,64,256,1.15,169.159466666667
0.98,0.01,0.01,128,64,1.05,137.939733333333
0.98,0.01,0.01,128,64,1.1,100.083466666667
0.98,0.01,0.01,128,64,1.15,137.446666666667
0.98,0.01,0.01,128,128,1.05,143.288
0.98,0.01,0.01,128,128,1.1,128.8112
0.98,0.01,0.01,128,128,1.15,111.4712
0.98,0.01,0.01,128,256,1.05,115.0928
0.98,0.01,0.01,128,256,1.1,144.086133333333
0.98,0.01,0.01,128,256,1.15,142.7984
0.98,0.01,0.01,256,64,1.05,61.8528
0.98,0.01,0.01,256,64,1.1,104.6576
0.98,0.01,0.01,256,64,1.15,116.808
0.98,0.01,0.01,256,128,1.05,98.9565333333333
0.98,0.01,0.01,256,128,1.1,86.2941333333333
0.98,0.01,0.01,256,128,1.15,43.3941333333333
0.98,0.01,0.01,256,256,1.05,75.184
0.98,0.01,0.01,256,256,1.1,87.0613333333333
0.98,0.01,0.01,256,256,1.15,67.1749333333333
0.98,0.01,0.001,64,64,1.05,121.074933333333
0.98,0.01,0.001,64,64,1.1,137.2544
0.98,0.01,0.001,64,64,1.15,136.613066666667
0.98,0.01,0.001,64,128,1.05,154.5712
0.98,0.01,0.001,64,128,1.1,132.6632
0.98,0.01,0.001,64,128,1.15,149.6816
0.98,0.01,0.001,64,256,1.05,167.666933333333
0.98,0.01,0.001,64,256,1.1,134.8032
0.98,0.01,0.001,64,256,1.15,161.641333333333
0.98,0.01,0.001,128,64,1.05,119.169866666667
0.98,0.01,0.001,128,64,1.1,77.8229333333333
0.98,0.01,0.001,128,64,1.15,80.9757333333333
0.98,0.01,0.001,128,128,1.05,81.3712
0.98,0.01,0.001,128,128,1.1,99.1056
0.98,0.01,0.001,128,128,1.15,148.225333333333
0.98,0.01,0.001,128,256,1.05,136.133866666667
0.98,0.01,0.001,128,256,1.1,133.1256
0.98,0.01,0.001,128,256,1.15,127.351733333333
0.98,0.01,0.001,256,64,1.05,68.9226666666667
0.98,0.01,0.001,256,64,1.1,90.8869333333333
0.98,0.01,0.001,256,64,1.15,64.6021333333333
0.98,0.01,0.001,256,128,1.05,64.4128
0.98,0.01,0.001,256,128,1.1,76.9514666666667
0.98,0.01,0.001,256,128,1.15,90.3594666666667
0.98,0.01,0.001,256,256,1.05,93.092
0.98,0.01,0.001,256,256,1.1,110.244
0.98,0.01,0.001,256,256,1.15,127.767733333333
0.98,0.01,0.0001,64,64,1.05,101.444
0.98,0.01,0.0001,64,64,1.1,136.241866666667
0.98,0.01,0.0001,64,64,1.15,117.665866666667
0.98,0.01,0.0001,64,128,1.05,108.855466666667
0.98,0.01,0.0001,64,128,1.1,134.213333333333
0.98,0.01,0.0001,64,128,1.15,127.754133333333
0.98,0.01,0.0001,64,256,1.05,120.4456
0.98,0.01,0.0001,64,256,1.1,138.9472
0.98,0.01,0.0001,64,256,1.15,124.654666666667
0.98,0.01,0.0001,128,64,1.05,70.6416
0.98,0.01,0.0001,128,64,1.1,80.4248
0.98,0.01,0.0001,128,64,1.15,59.7264
0.98,0.01,0.0001,128,128,1.05,106.188266666667
0.98,0.01,0.0001,128,128,1.1,133.287733333333
0.98,0.01,0.0001,128,128,1.15,99.0442666666667
0.98,0.01,0.0001,128,256,1.05,97.3773333333333
0.98,0.01,0.0001,128,256,1.1,98.5733333333333
0.98,0.01,0.0001,128,256,1.15,86.1048
0.98,0.01,0.0001,256,64,1.05,38.6173333333333
0.98,0.01,0.0001,256,64,1.1,47.6472
0.98,0.01,0.0001,256,64,1.15,88.5309333333333
0.98,0.01,0.0001,256,128,1.05,38.4453333333333
0.98,0.01,0.0001,256,128,1.1,49.4421333333333
0.98,0.01,0.0001,256,128,1.15,44.8602666666667
0.98,0.01,0.0001,256,256,1.05,22.4789333333333
0.98,0.01,0.0001,256,256,1.1,67.0954666666667
0.98,0.01,0.0001,256,256,1.15,52.2464
0.98,0.001,0.01,64,64,1.05,123.501066666667
0.98,0.001,0.01,64,64,1.1,127.7216
0.98,0.001,0.01,64,64,1.15,124.180533333333
0.98,0.001,0.01,64,128,1.05,123.8616
0.98,0.001,0.01,64,128,1.1,128.329333333333
0.98,0.001,0.01,64,128,1.15,133.679466666667
0.98,0.001,0.01,64,256,1.05,122.265066666667
0.98,0.001,0.01,64,256,1.1,125.616
0.98,0.001,0.01,64,256,1.15,126.596266666667
0.98,0.001,0.01,128,64,1.05,148.020533333333
0.98,0.001,0.01,128,64,1.1,140.272266666667
0.98,0.001,0.01,128,64,1.15,146.523733333333
0.98,0.001,0.01,128,128,1.05,140.8928
0.98,0.001,0.01,128,128,1.1,142.936533333333
0.98,0.001,0.01,128,128,1.15,140.374133333333
0.98,0.001,0.01,128,256,1.05,147.574666666667
0.98,0.001,0.01,128,256,1.1,144.5056
0.98,0.001,0.01,128,256,1.15,145.153066666667
0.98,0.001,0.01,256,64,1.05,163.289333333333
0.98,0.001,0.01,256,64,1.1,161.2816
0.98,0.001,0.01,256,64,1.15,158.789866666667
0.98,0.001,0.01,256,128,1.05,154.314933333333
0.98,0.001,0.01,256,128,1.1,159.471733333333
0.98,0.001,0.01,256,128,1.15,157.071466666667
0.98,0.001,0.01,256,256,1.05,160.306133333333
0.98,0.001,0.01,256,256,1.1,161.0272
0.98,0.001,0.01,256,256,1.15,156.685866666667
0.98,0.001,0.001,64,64,1.05,118.267466666667
0.98,0.001,0.001,64,64,1.1,118.272533333333
0.98,0.001,0.001,64,64,1.15,121.684266666667
0.98,0.001,0.001,64,128,1.05,119.048
0.98,0.001,0.001,64,128,1.1,128.450933333333
0.98,0.001,0.001,64,128,1.15,123.480533333333
0.98,0.001,0.001,64,256,1.05,129.388
0.98,0.001,0.001,64,256,1.1,131.357333333333
0.98,0.001,0.001,64,256,1.15,128.640266666667
0.98,0.001,0.001,128,64,1.05,142.003466666667
0.98,0.001,0.001,128,64,1.1,146.605066666667
0.98,0.001,0.001,128,64,1.15,142.756
0.98,0.001,0.001,128,128,1.05,145.902666666667
0.98,0.001,0.001,128,128,1.1,139.9536
0.98,0.001,0.001,128,128,1.15,138.5184
0.98,0.001,0.001,128,256,1.05,144.8752
0.98,0.001,0.001,128,256,1.1,140.446666666667
0.98,0.001,0.001,128,256,1.15,146.746133333333
0.98,0.001,0.001,256,64,1.05,151.828533333333
0.98,0.001,0.001,256,64,1.1,151.399466666667
0.98,0.001,0.001,256,64,1.15,146.3816
0.98,0.001,0.001,256,128,1.05,155.142133333333
0.98,0.001,0.001,256,128,1.1,154.661333333333
0.98,0.001,0.001,256,128,1.15,152.707466666667
0.98,0.001,0.001,256,256,1.05,155.015733333333
0.98,0.001,0.001,256,256,1.1,154.291466666667
0.98,0.001,0.001,256,256,1.15,153.6336
0.98,0.001,0.0001,64,64,1.05,117.9472
0.98,0.001,0.0001,64,64,1.1,106.3328
0.98,0.001,0.0001,64,64,1.15,110.7168
0.98,0.001,0.0001,64,128,1.05,110.959466666667
0.98,0.001,0.0001,64,128,1.1,104.147733333333
0.98,0.001,0.0001,64,128,1.15,113.206933333333
0.98,0.001,0.0001,64,256,1.05,109.648266666667
0.98,0.001,0.0001,64,256,1.1,115.761866666667
0.98,0.001,0.0001,64,256,1.15,120.117866666667
0.98,0.001,0.0001,128,64,1.05,135.302666666667
0.98,0.001,0.0001,128,64,1.1,135.6168
0.98,0.001,0.0001,128,64,1.15,125.967733333333
0.98,0.001,0.0001,128,128,1.05,137.1016
0.98,0.001,0.0001,128,128,1.1,134.6128
0.98,0.001,0.0001,128,128,1.15,132.9776
0.98,0.001,0.0001,128,256,1.05,132.3816
0.98,0.001,0.0001,128,256,1.1,131.103466666667
0.98,0.001,0.0001,128,256,1.15,135.7936
0.98,0.001,0.0001,256,64,1.05,137.510666666667
0.98,0.001,0.0001,256,64,1.1,143.3216
0.98,0.001,0.0001,256,64,1.15,145.985066666667
0.98,0.001,0.0001,256,128,1.05,143.270933333333
0.98,0.001,0.0001,256,128,1.1,143.038133333333
0.98,0.001,0.0001,256,128,1.15,138.397866666667
0.98,0.001,0.0001,256,256,1.05,146.819466666667
0.98,0.001,0.0001,256,256,1.1,142.118666666667
0.98,0.001,0.0001,256,256,1.15,134.571466666667
0.98,0.0001,0.01,64,64,1.05,27.2133333333333
0.98,0.0001,0.01,64,64,1.1,26.9146666666667
0.98,0.0001,0.01,64,64,1.15,26.3952
0.98,0.0001,0.01,64,128,1.05,27.8
0.98,0.0001,0.01,64,128,1.1,23.9528
0.98,0.0001,0.01,64,128,1.15,28.2128
0.98,0.0001,0.01,64,256,1.05,26.2026666666667
0.98,0.0001,0.01,64,256,1.1,26.8722666666667
0.98,0.0001,0.01,64,256,1.15,23.7962666666667
0.98,0.0001,0.01,128,64,1.05,31.7005333333333
0.98,0.0001,0.01,128,64,1.1,32.8501333333333
0.98,0.0001,0.01,128,64,1.15,28.3672
0.98,0.0001,0.01,128,128,1.05,32.8525333333333
0.98,0.0001,0.01,128,128,1.1,29.3917333333333
0.98,0.0001,0.01,128,128,1.15,29.8722666666667
0.98,0.0001,0.01,128,256,1.05,30.3357333333333
0.98,0.0001,0.01,128,256,1.1,30.3981333333333
0.98,0.0001,0.01,128,256,1.15,31.0432
0.98,0.0001,0.01,256,64,1.05,41.2984
0.98,0.0001,0.01,256,64,1.1,41.9133333333333
0.98,0.0001,0.01,256,64,1.15,44.2898666666667
0.98,0.0001,0.01,256,128,1.05,40.8346666666667
0.98,0.0001,0.01,256,128,1.1,39.7698666666667
0.98,0.0001,0.01,256,128,1.15,40.2096
0.98,0.0001,0.01,256,256,1.05,40.3272
0.98,0.0001,0.01,256,256,1.1,40.1434666666667
0.98,0.0001,0.01,256,256,1.15,41.1717333333333
0.98,0.0001,0.001,64,64,1.05,26.5258666666667
0.98,0.0001,0.001,64,64,1.1,25.0056
0.98,0.0001,0.001,64,64,1.15,25.6677333333333
0.98,0.0001,0.001,64,128,1.05,25.8381333333333
0.98,0.0001,0.001,64,128,1.1,27.3528
0.98,0.0001,0.001,64,128,1.15,25.8509333333333
0.98,0.0001,0.001,64,256,1.05,26.0661333333333
0.98,0.0001,0.001,64,256,1.1,27.6818666666667
0.98,0.0001,0.001,64,256,1.15,25.0570666666667
0.98,0.0001,0.001,128,64,1.05,30.5213333333333
0.98,0.0001,0.001,128,64,1.1,31.1954666666667
0.98,0.0001,0.001,128,64,1.15,29.1818666666667
0.98,0.0001,0.001,128,128,1.05,34.1733333333333
0.98,0.0001,0.001,128,128,1.1,33.232
0.98,0.0001,0.001,128,128,1.15,30.3285333333333
0.98,0.0001,0.001,128,256,1.05,31.984
0.98,0.0001,0.001,128,256,1.1,30.3066666666667
0.98,0.0001,0.001,128,256,1.15,33.0464
0.98,0.0001,0.001,256,64,1.05,40.3389333333333
0.98,0.0001,0.001,256,64,1.1,44.5034666666667
0.98,0.0001,0.001,256,64,1.15,44.6898666666667
0.98,0.0001,0.001,256,128,1.05,43.4728
0.98,0.0001,0.001,256,128,1.1,45.0149333333333
0.98,0.0001,0.001,256,128,1.15,39.4773333333333
0.98,0.0001,0.001,256,256,1.05,40.5456
0.98,0.0001,0.001,256,256,1.1,40.8714666666667
0.98,0.0001,0.001,256,256,1.15,45.1394666666667
0.98,0.0001,0.0001,64,64,1.05,25.4541333333333
0.98,0.0001,0.0001,64,64,1.1,23.8461333333333
0.98,0.0001,0.0001,64,64,1.15,25.7237333333333
0.98,0.0001,0.0001,64,128,1.05,26.4189333333333
0.98,0.0001,0.0001,64,128,1.1,25.7322666666667
0.98,0.0001,0.0001,64,128,1.15,23.9578666666667
0.98,0.0001,0.0001,64,256,1.05,26.6181333333333
0.98,0.0001,0.0001,64,256,1.1,24.8738666666667
0.98,0.0001,0.0001,64,256,1.15,26.5026666666667
0.98,0.0001,0.0001,128,64,1.05,29.5378666666667
0.98,0.0001,0.0001,128,64,1.1,29.8853333333333
