discount_factor,learn_rate,hidden_dim,init_temp,result
0.98,0.01,64,1.05,95.95226666666666
0.98,0.01,64,1.1,99.9768
0.98,0.01,64,1.15,127.41946666666668
0.98,0.01,128,1.05,80.71920000000001
0.98,0.01,128,1.1,80.8024
0.98,0.01,128,1.15,75.43813333333334
0.98,0.01,256,1.05,59.29733333333335
0.98,0.01,256,1.1,44.269600000000004
0.98,0.01,256,1.15,37.788
0.98,0.001,64,1.05,106.2088
0.98,0.001,64,1.1,113.58213333333333
0.98,0.001,64,1.15,107.54053333333334
0.98,0.001,128,1.05,128.86933333333334
0.98,0.001,128,1.1,128.61759999999998
0.98,0.001,128,1.15,129.90933333333334
0.98,0.001,256,1.05,137.08746666666667
0.98,0.001,256,1.1,134.42986666666667
0.98,0.001,256,1.15,136.74773333333331
0.98,0.0001,64,1.05,24.998399999999997
0.98,0.0001,64,1.1,24.746666666666666
0.98,0.0001,64,1.15,24.551733333333335
0.98,0.0001,128,1.05,27.192
0.98,0.0001,128,1.1,28.8808
0.98,0.0001,128,1.15,27.0248
0.98,0.0001,256,1.05,35.99333333333333
0.98,0.0001,256,1.1,36.1688
0.98,0.0001,256,1.15,37.1712
0.985,0.01,64,1.05,118.46746666666665
0.985,0.01,64,1.1,122.86773333333333
0.985,0.01,64,1.15,120.70373333333335
0.985,0.01,128,1.05,90.46933333333332
0.985,0.01,128,1.1,110.15573333333332
0.985,0.01,128,1.15,101.52053333333333
0.985,0.01,256,1.05,66.78693333333334
0.985,0.01,256,1.1,39.14293333333333
0.985,0.01,256,1.15,60.878933333333336
0.985,0.001,64,1.05,112.172
0.985,0.001,64,1.1,113.84026666666668
0.985,0.001,64,1.15,114.9048
0.985,0.001,128,1.05,132.308
0.985,0.001,128,1.1,132.13119999999998
0.985,0.001,128,1.15,133.99599999999998
0.985,0.001,256,1.05,139.55973333333333
0.985,0.001,256,1.1,147.90666666666667
0.985,0.001,256,1.15,143.81253333333333
0.985,0.0001,64,1.05,27.38693333333333
0.985,0.0001,64,1.1,26.16906666666667
0.985,0.0001,64,1.15,28.05946666666667
0.985,0.0001,128,1.05,31.902133333333335
0.985,0.0001,128,1.1,29.7168
0.985,0.0001,128,1.15,29.911733333333338
0.985,0.0001,256,1.05,37.090133333333334
0.985,0.0001,256,1.1,41.0096
0.985,0.0001,256,1.15,38.96
0.99,0.01,64,1.05,127.51680000000002
0.99,0.01,64,1.1,118.77039999999997
0.99,0.01,64,1.15,122.33653333333336
0.99,0.01,128,1.05,75.26373333333333
0.99,0.01,128,1.1,97.82773333333334
0.99,0.01,128,1.15,113.47546666666668
0.99,0.01,256,1.05,47.73013333333334
0.99,0.01,256,1.1,48.99786666666667
0.99,0.01,256,1.15,83.644
0.99,0.001,64,1.05,115.19546666666668
0.99,0.001,64,1.1,110.37226666666668
0.99,0.001,64,1.15,117.34426666666666
0.99,0.001,128,1.05,135.75706666666665
0.99,0.001,128,1.1,132.66666666666669
0.99,0.001,128,1.15,137.5794666666667
0.99,0.001,256,1.05,143.1184
0.99,0.001,256,1.1,140.52613333333335
0.99,0.001,256,1.15,145.63066666666668
0.99,0.0001,64,1.05,23.931466666666665
0.99,0.0001,64,1.1,27.176
0.99,0.0001,64,1.15,24.630133333333333
0.99,0.0001,128,1.05,30.18906666666667
0.99,0.0001,128,1.1,30.6376
0.99,0.0001,128,1.15,31.459466666666664
0.99,0.0001,256,1.05,39.223200000000006
0.99,0.0001,256,1.1,42.06853333333333
0.99,0.0001,256,1.15,38.68213333333333
