discount_factor,learn_rate_policy,learn_rate_value,hidden_dim_policy,hidden_dim_value,init_temp,result
0.98,0.01,0.01,64,64,1.05,13.316000000000003
0.98,0.01,0.01,64,64,1.1,17.473599999999998
0.98,0.01,0.01,64,64,1.15,12.028533333333332
0.98,0.01,0.01,64,128,1.05,15.192266666666665
0.98,0.01,0.01,64,128,1.1,12.279999999999998
0.98,0.01,0.01,64,128,1.15,11.145066666666667
0.98,0.01,0.01,64,256,1.05,14.227733333333333
0.98,0.01,0.01,64,256,1.1,15.739733333333334
0.98,0.01,0.01,64,256,1.15,12.786933333333334
0.98,0.01,0.01,128,64,1.05,17.079733333333337
0.98,0.01,0.01,128,64,1.1,18.890666666666668
0.98,0.01,0.01,128,64,1.15,16.194133333333333
0.98,0.01,0.01,128,128,1.05,20.79413333333333
0.98,0.01,0.01,128,128,1.1,16.203733333333332
0.98,0.01,0.01,128,128,1.15,18.3376
0.98,0.01,0.01,128,256,1.05,15.3184
0.98,0.01,0.01,128,256,1.1,16.761066666666668
0.98,0.01,0.01,128,256,1.15,20.606133333333332
0.98,0.01,0.01,256,64,1.05,21.250400000000003
0.98,0.01,0.01,256,64,1.1,22.061866666666667
0.98,0.01,0.01,256,64,1.15,15.480533333333332
0.98,0.01,0.01,256,128,1.05,25.3072
0.98,0.01,0.01,256,128,1.1,20.32026666666667
0.98,0.01,0.01,256,128,1.15,17.869866666666667
0.98,0.01,0.01,256,256,1.05,25.006399999999996
0.98,0.01,0.01,256,256,1.1,20.113866666666667
0.98,0.01,0.01,256,256,1.15,24.031466666666667
0.98,0.01,0.001,64,64,1.05,17.6088
0.98,0.01,0.001,64,64,1.1,10.634933333333333
0.98,0.01,0.001,64,64,1.15,18.705333333333336
0.98,0.01,0.001,64,128,1.05,17.046133333333334
0.98,0.01,0.001,64,128,1.1,21.276
0.98,0.01,0.001,64,128,1.15,15.459999999999999
0.98,0.01,0.001,64,256,1.05,20.410133333333334
0.98,0.01,0.001,64,256,1.1,17.112266666666667
0.98,0.01,0.001,64,256,1.15,17.886400000000002
0.98,0.01,0.001,128,64,1.05,17.57226666666667
0.98,0.01,0.001,128,64,1.1,13.9144
0.98,0.01,0.001,128,64,1.15,13.048266666666667
0.98,0.01,0.001,128,128,1.05,18.1408
0.98,0.01,0.001,128,128,1.1,18.13706666666667
0.98,0.01,0.001,128,128,1.15,14.671199999999999
0.98,0.01,0.001,128,256,1.05,14.845333333333333
0.98,0.01,0.001,128,256,1.1,14.326400000000001
0.98,0.01,0.001,128,256,1.15,17.843466666666664
0.98,0.01,0.001,256,64,1.05,15.508266666666666
0.98,0.01,0.001,256,64,1.1,24.692
0.98,0.01,0.001,256,64,1.15,18.705333333333332
0.98,0.01,0.001,256,128,1.05,21.6824
0.98,0.01,0.001,256,128,1.1,19.7776
0.98,0.01,0.001,256,128,1.15,22.102133333333335
