discount_factor,learn_rate,hidden_dim,init_temp,result
0.98,0.01,64,1.05,20.25946666666667
0.98,0.01,64,1.1,21.8976
0.98,0.01,64,1.15,26.200533333333333
0.98,0.01,128,1.05,23.77413333333333
0.98,0.01,128,1.1,21.578666666666667
0.98,0.01,128,1.15,18.8936
0.98,0.01,256,1.05,26.282933333333336
0.98,0.01,256,1.1,23.131733333333333
0.98,0.01,256,1.15,24.6184
0.98,0.001,64,1.05,22.873333333333335
0.98,0.001,64,1.1,19.050933333333333
0.98,0.001,64,1.15,18.3024
0.98,0.001,128,1.05,17.472266666666666
0.98,0.001,128,1.1,18.711199999999998
0.98,0.001,128,1.15,20.9408
0.98,0.001,256,1.05,20.50266666666667
0.98,0.001,256,1.1,20.4744
0.98,0.001,256,1.15,18.444266666666667
0.98,0.0001,64,1.05,26.281866666666666
0.98,0.0001,64,1.1,24.733066666666666
0.98,0.0001,64,1.15,26.441866666666662
0.98,0.0001,128,1.05,22.824
0.98,0.0001,128,1.1,21.929066666666664
0.98,0.0001,128,1.15,26.422133333333335
0.98,0.0001,256,1.05,21.057333333333332
0.98,0.0001,256,1.1,21.533866666666665
0.98,0.0001,256,1.15,22.808
0.985,0.01,64,1.05,20.656799999999997
0.985,0.01,64,1.1,23.349066666666666
0.985,0.01,64,1.15,20.624266666666664
0.985,0.01,128,1.05,26.3128
0.985,0.01,128,1.1,23.032
0.985,0.01,128,1.15,21.854666666666667
0.985,0.01,256,1.05,26.276
0.985,0.01,256,1.1,23.196266666666666
0.985,0.01,256,1.15,23.682133333333333
0.985,0.001,64,1.05,22.1512
0.985,0.001,64,1.1,23.395733333333332
0.985,0.001,64,1.15,21.220266666666667
0.985,0.001,128,1.05,19.847199999999997
0.985,0.001,128,1.1,23.8128
0.985,0.001,128,1.15,23.453333333333333
0.985,0.001,256,1.05,21.7816
0.985,0.001,256,1.1,21.363733333333336
0.985,0.001,256,1.15,19.733866666666664
0.985,0.0001,64,1.05,27.1256
0.985,0.0001,64,1.1,26.017599999999998
0.985,0.0001,64,1.15,26.668800000000005
0.985,0.0001,128,1.05,24.004
0.985,0.0001,128,1.1,24.2656
0.985,0.0001,128,1.15,22.525866666666666
0.985,0.0001,256,1.05,22.886666666666663
0.985,0.0001,256,1.1,20.8848
0.985,0.0001,256,1.15,21.156533333333332
0.99,0.01,64,1.05,22.59893333333333
0.99,0.01,64,1.1,23.362133333333333
0.99,0.01,64,1.15,19.3184
0.99,0.01,128,1.05,24.235466666666667
0.99,0.01,128,1.1,23.099733333333333
0.99,0.01,128,1.15,20.98773333333333
0.99,0.01,256,1.05,23.505333333333333
0.99,0.01,256,1.1,25.694666666666667
0.99,0.01,256,1.15,26.25413333333333
0.99,0.001,64,1.05,21.142933333333332
0.99,0.001,64,1.1,18.78053333333333
0.99,0.001,64,1.15,17.56693333333333
0.99,0.001,128,1.05,18.77013333333333
0.99,0.001,128,1.1,18.266933333333334
0.99,0.001,128,1.15,21.294933333333333
0.99,0.001,256,1.05,20.541333333333334
0.99,0.001,256,1.1,21.3504
0.99,0.001,256,1.15,20.590933333333332
0.99,0.0001,64,1.05,25.321866666666665
0.99,0.0001,64,1.1,24.293066666666665
0.99,0.0001,64,1.15,26.87626666666667
0.99,0.0001,128,1.05,23.908533333333335
0.99,0.0001,128,1.1,25.9928
0.99,0.0001,128,1.15,21.244533333333333
0.99,0.0001,256,1.05,22.312
0.99,0.0001,256,1.1,23.537333333333333
0.99,0.0001,256,1.15,25.20506666666667
