discount_factor,learn_rate,hidden_dim,init_temp,result
0.98,0.01,64,1.05,17.9112
0.98,0.01,64,1.1,12.614666666666666
0.98,0.01,64,1.15,17.62826666666667
0.98,0.01,128,1.05,26.422666666666665
0.98,0.01,128,1.1,23.51813333333333
0.98,0.01,128,1.15,18.656533333333332
0.98,0.01,256,1.05,22.09146666666667
0.98,0.01,256,1.1,23.75306666666667
0.98,0.01,256,1.15,24.508
0.98,0.001,64,1.05,18.402933333333333
0.98,0.001,64,1.1,18.827733333333335
0.98,0.001,64,1.15,21.8224
0.98,0.001,128,1.05,13.997866666666667
0.98,0.001,128,1.1,16.375999999999998
0.98,0.001,128,1.15,17.236266666666666
0.98,0.001,256,1.05,11.9312
0.98,0.001,256,1.1,15.967733333333333
0.98,0.001,256,1.15,17.376266666666666
0.98,0.0001,64,1.05,20.093333333333334
0.98,0.0001,64,1.1,26.182666666666666
0.98,0.0001,64,1.15,25.683466666666668
0.98,0.0001,128,1.05,21.412533333333336
0.98,0.0001,128,1.1,25.087466666666664
0.98,0.0001,128,1.15,22.741866666666667
0.98,0.0001,256,1.05,21.7408
0.98,0.0001,256,1.1,25.52426666666667
0.98,0.0001,256,1.15,23.193599999999996
0.985,0.01,64,1.05,23.089866666666666
0.985,0.01,64,1.1,18.221066666666665
0.985,0.01,64,1.15,19.736
0.985,0.01,128,1.05,20.78346666666667
0.985,0.01,128,1.1,20.399733333333334
0.985,0.01,128,1.15,17.11466666666667
0.985,0.01,256,1.05,15.283733333333334
0.985,0.01,256,1.1,21.978400000000004
0.985,0.01,256,1.15,21.8952
0.985,0.001,64,1.05,18.333866666666665
0.985,0.001,64,1.1,20.2576
0.985,0.001,64,1.15,19.866933333333332
0.985,0.001,128,1.05,18.24
0.985,0.001,128,1.1,14.823733333333333
0.985,0.001,128,1.15,17.684533333333334
0.985,0.001,256,1.05,16.537866666666666
0.985,0.001,256,1.1,20.96826666666667
0.985,0.001,256,1.15,22.255733333333332
0.985,0.0001,64,1.05,22.153066666666668
0.985,0.0001,64,1.1,25.818933333333337
0.985,0.0001,64,1.15,22.606933333333334
0.985,0.0001,128,1.05,22.041333333333334
0.985,0.0001,128,1.1,23.906933333333335
0.985,0.0001,128,1.15,24.004533333333335
0.985,0.0001,256,1.05,23.843466666666668
0.985,0.0001,256,1.1,18.2168
0.985,0.0001,256,1.15,21.491466666666664
0.99,0.01,64,1.05,24.070133333333334
0.99,0.01,64,1.1,18.92
0.99,0.01,64,1.15,17.25546666666667
0.99,0.01,128,1.05,20.927466666666668
0.99,0.01,128,1.1,20.445866666666667
0.99,0.01,128,1.15,20.112533333333335
0.99,0.01,256,1.05,20.946666666666665
0.99,0.01,256,1.1,24.486933333333337
0.99,0.01,256,1.15,24.327733333333335
0.99,0.001,64,1.05,15.504266666666666
0.99,0.001,64,1.1,19.64773333333333
0.99,0.001,64,1.15,21.718133333333334
0.99,0.001,128,1.05,16.490133333333333
0.99,0.001,128,1.1,18.9
0.99,0.001,128,1.15,18.09813333333333
0.99,0.001,256,1.05,14.835999999999999
0.99,0.001,256,1.1,12.097333333333335
0.99,0.001,256,1.15,21.824266666666666
0.99,0.0001,64,1.05,25.853066666666667
0.99,0.0001,64,1.1,26.220266666666664
0.99,0.0001,64,1.15,22.92693333333333
0.99,0.0001,128,1.05,22.845333333333333
0.99,0.0001,128,1.1,24.764266666666664
0.99,0.0001,128,1.15,19.81413333333333
0.99,0.0001,256,1.05,22.485333333333337
0.99,0.0001,256,1.1,23.914133333333332
0.99,0.0001,256,1.15,24.9216
