discount_factor,learn_rate,hidden_dim,init_temp,result
0.98,0.01,64,1.05,23.5472
0.98,0.01,64,1.1,24.2856
0.98,0.01,64,1.15,16.4968
0.98,0.01,128,1.05,23.3997333333333
0.98,0.01,128,1.1,23.6952
0.98,0.01,128,1.15,24.3197333333333
0.98,0.01,256,1.05,26.3885333333333
0.98,0.01,256,1.1,26.0816
0.98,0.01,256,1.15,24.5205333333333
0.98,0.001,64,1.05,23.5048
0.98,0.001,64,1.1,17.0136
0.98,0.001,64,1.15,20.3752
0.98,0.001,128,1.05,22.8736
0.98,0.001,128,1.1,21.9272
0.98,0.001,128,1.15,15.9666666666667
0.98,0.001,256,1.05,20.2941333333333
0.98,0.001,256,1.1,16.7738666666667
0.98,0.001,256,1.15,22.5637333333333
0.98,0.0001,64,1.05,22.9264
0.98,0.0001,64,1.1,26.5445333333333
0.98,0.0001,64,1.15,24.4616
0.98,0.0001,128,1.05,26.5648
0.98,0.0001,128,1.1,24.7258666666667
0.98,0.0001,128,1.15,24.408
0.98,0.0001,256,1.05,19.2301333333333
0.98,0.0001,256,1.1,23.3365333333333
0.98,0.0001,256,1.15,19.8917333333333
0.985,0.01,64,1.05,19.5378666666667
0.985,0.01,64,1.1,21.1221333333333
0.985,0.01,64,1.15,20.1184
0.985,0.01,128,1.05,20.5162666666667
0.985,0.01,128,1.1,20.4746666666667
0.985,0.01,128,1.15,20.0789333333333
0.985,0.01,256,1.05,26.5442666666667
0.985,0.01,256,1.1,26.3733333333333
0.985,0.01,256,1.15,26.3981333333333
0.985,0.001,64,1.05,19.4717333333333
0.985,0.001,64,1.1,19.7192
0.985,0.001,64,1.15,20.2602666666667
0.985,0.001,128,1.05,21.4493333333333
0.985,0.001,128,1.1,21.6728
0.985,0.001,128,1.15,17.5866666666667
0.985,0.001,256,1.05,18.6224
0.985,0.001,256,1.1,21.1186666666667
0.985,0.001,256,1.15,19.8496
0.985,0.0001,64,1.05,26.6872
0.985,0.0001,64,1.1,24.8109333333333
0.985,0.0001,64,1.15,26.8216
0.985,0.0001,128,1.05,21.8669333333333
0.985,0.0001,128,1.1,22.5461333333333
0.985,0.0001,128,1.15,23.2370666666667
0.985,0.0001,256,1.05,22.3714666666667
0.985,0.0001,256,1.1,21.48
0.985,0.0001,256,1.15,23.5066666666667
0.99,0.01,64,1.05,17.6005333333333
0.99,0.01,64,1.1,23.4104
0.99,0.01,64,1.15,20.3208
0.99,0.01,128,1.05,25.0277333333333
0.99,0.01,128,1.1,23.392
0.99,0.01,128,1.15,25.0832
0.99,0.01,256,1.05,26.3152
0.99,0.01,256,1.1,26.4648
0.99,0.01,256,1.15,23.052
0.99,0.001,64,1.05,22.5165333333333
0.99,0.001,64,1.1,17.8362666666667
0.99,0.001,64,1.15,18.2826666666667
0.99,0.001,128,1.05,20.4874666666667
0.99,0.001,128,1.1,16.8024
0.99,0.001,128,1.15,20.6101333333333
0.99,0.001,256,1.05,15.7845333333333
0.99,0.001,256,1.1,23.9762666666667
0.99,0.001,256,1.15,21.2653333333333
0.99,0.0001,64,1.05,24.5850666666667
0.99,0.0001,64,1.1,24.7408
0.99,0.0001,64,1.15,24.2757333333333
0.99,0.0001,128,1.05,24.5962666666667
0.99,0.0001,128,1.1,23.7448
0.99,0.0001,128,1.15,22.1376
0.99,0.0001,256,1.05,23.6629333333333
0.99,0.0001,256,1.1,23.7941333333333
0.99,0.0001,256,1.15,19.7573333333333
